drug_name,side_effects,generic_name,drug_classes,brand_names
doxycycline,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using doxycycline. Doxycycline may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short of breath; little or no urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding; severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of doxycycline may include: nausea and vomiting; upset stomach; loss of appetite; mild diarrhea; skin rash or itching; darkened skin color; vaginal itching or discharge.",doxycycline,"Miscellaneous antimalarials, Tetracyclines","Acticlate, Adoxa CK, Adoxa Pak, Adoxa TT, Alodox, Avidoxy, Doryx, Mondoxyne NL, Monodox, Morgidox, Okebo, Oracea, Oraxyl, Periostat Targadox, Vibramycin calcium, Vibramycin Hyclate, Vibramycin monohydrate, Vibra-Tabs"
spironolactone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; o signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss of coordination, feeling unsteady. Common spironolactone side effects may include: breast swelling or tenderness.",spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics","Aldactone, CaroSpir"
minocycline,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This may be more likely with long-term use of minocycline, and the reaction may occur several weeks after you began using this medicine. Call your doctor at once if you have: little or no urination, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems); loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, loss of appetite, easy bruising or bleeding, dark urine, yellowing of the skin or eyes (signs of liver or pancreas problems); joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting, unusual thoughts or behavior, and patchy skin color; severe headaches, ringing in your ears, dizziness, vision problems, pain behind your eyes; or swollen glands, flu symptoms, easy bruising or bleeding, severe tingling or numbness, muscle weakness, chest pain, new or worsening cough with fever, trouble breathing. Common minocycline side effects may include: numbness , tingling, burning pain; hair loss ; discoloration of you skin or nails. dizziness, spinning sensation; muscle or joint pain; nausea, diarrhea, loss of appetite; swollen tongue, cough, trouble swallowing; rash, itching; or headache .",minocycline,Tetracyclines,"Dynacin, Minocin, Minolira, Solodyn, Ximino, Vectrin, Myrac"
clindamycin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindamycin topical may cause serious side effects. Stop using clindamycin topical and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of clindamycin topical may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,"Topical acne agents, Vaginal anti-infectives","Cleocin T, Clindacin ETZ, Clindacin P, Clindagel, Evoclin"
Aldactone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; o signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss of coordination, feeling unsteady. Common Aldactone side effects may include: breast swelling or tenderness.",spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",CaroSpir
tretinoin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tretinoin topical may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or irritation of treated skin; severe skin dryness; or severe redness, swelling, blistering, peeling, or crusting. Your skin may be more sensitive to weather extremes such as cold and wind while using tretinoin topical. Common side effects of tretinoin topical may include: skin pain, redness, burning, itching, or irritation; sore throat ; mild warmth or stinging where the medicine was applied; or changes in color of treated skin.",tretinoin topical,Topical acne agents,"Altreno, Atralin, Avita, Refissa, Renova, Retin-A, Tretinoin Emollient Topical, Retin A Micro Gel, Retisol-A, Stie Vaa, Stie Vaa Forte, Stievaa, Vitinoin, Altinac, Tretin-X, Retin A Micro Gel Pump, Renova Pump, Retin-A Micro Microsphere Pump, Tretinoin Microsphere"
isotretinoin,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of isotretinoin may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","Absorica, Accutane, Amnesteem, Claravis, Myorisan, Sotret, Zenatane, Absorica LD"
Bactrim,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); any skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high blood potassium - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common Bactrim side effects may include: nausea, vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim,Sulfonamides,Bactrim DS
benzoyl peroxide,"Benzoyl peroxide topical can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. Common side effects of benzoyl peroxide topical may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",benzoyl peroxide topical,Topical acne agents,"Acne-Clear, Benzac AC, BenzePrO, Benziq, Brevoxyl Acne Wash Kit, Clearskin, Fostex Wash 10%, NeoBenz Micro, Neutrogena Acne Mask, Oscion, Oxy Daily Wash, Oxy-10, Pacnex, PanOxyl, Persa-Gel, Riax, SoluCLENZ Rx, Triaz, Benzac, Desquam-X 10, Benzashave 5, Benzashave 10, Panoxyl AQ 2.5, Desquam-E, Benzac W, Brevoxyl, Panoxyl AQ 5, Panoxyl 5, Desquam-X 5, Persa-Gel W, Benzagel-5, Clearplex, Panoxyl 10, Panoxyl AQ 10, Benzagel-10, Peroxin A 10, Desquam-X Wash, Triaz Cleanser, Benoxyl 5, Acne Treatment, Ben-Aqua, Del-Aqua, Peroxin A, Zeroxin, Acne-10, Benoxyl 10, Fostex Bar 10%, Fostex Gel 10%, Clear By Design, Loroxide, Vanoxide, Oxy Vanishing Gel, Neutrogena On Spot Acne Treatment, Seba-Gel, Brevoxyl Creamy Wash, Clinac BPO, Benzagel Wash, Ethexderm, Oxy 10 Balance, Zaclir, Oxy Balance, Benziq LS, Benziq Wash, Panoxyl Aqua Gel, Oscion Cleanser, Inova, NeoBenz Micro SD, Lavoclen-4 Creamy Wash, Lavoclen-8 Creamy Wash, Oxy Daily Wash Chill Factor, Oxy Spot Treatment, PanOxyl Maximum Strength Foaming Acne Wash, Lavoclen-4, Lavoclen-8, Breze, Brevoxyl-4 Creamy Wash Complete Pack, Brevoxyl-8 Creamy Wash Complete Pack, NeoBenz Micro Wash, NeoBenz Micro Wash Plus Pack, Triaz Foaming Cloths, Triaz Pads, BenzEFoam, Pacnex MX Wash, NeoBenz Micro Cream Plus Pack, Benzac AC Wash, BPO Foaming Cloths, Pacnex HP, Pacnex LP, BenzEFoam Ultra, BP Cleansing Lotion, BP Wash, OC8, Delos, BPO, PR Benzoyl Peroxide Wash, Differin Daily Deep Cleanser, Epsolay"
Epiduo,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Epiduo may cause serious side effects. Call your doctor at once if you have: severe redness or swelling of treated skin; severe burning or stinging; or severe dryness or other skin irritation. Common Epiduo side effects may include: dry or scaly skin; skin redness; or burning or stinging.",adapalene and benzoyl peroxide (topical),Topical acne agents,Epiduo Forte
